Time,subjectID,TrialID,FittsLaw-Id,ButtonName,Target-X,Target-Y,Input-Method,GazeCoordinates-X,GazeCoordinates-Y,Previous-Target-X,Pervious-Target-Y,Cursor
578.1769,11,1,3.1,Panel-9-Target-9,-0.3777161,1.466034,Eye-Gaze,-0.3787503,1.421293,0.4212341,1.991791,Yes
578.9075,11,1,3.1,Panel-9-Target-1,0.5222168,1.648773,Eye-Gaze,-0.3787503,1.421293,-0.3777161,1.466034,Yes
584.04,11,1,1.4,Panel-8-Target-1,0.3586731,1.633179,Eye-Gaze,0.3314687,1.659552,0.5222168,1.648773,Yes
599.761,11,1,1.4,Panel-8-Target-2,-0.2387085,1.770538,Eye-Gaze,-0.2745321,1.746153,0.3586731,1.633179,Yes
610.5609,11,1,1.4,Panel-8-Target-3,0.2810364,1.403687,Eye-Gaze,0.2450713,1.368683,-0.2387085,1.770538,Yes
612.2928,11,1,1.4,Panel-8-Target-4,-0.1048279,1.970001,Eye-Gaze,-0.0899822,1.941206,0.2810364,1.403687,Yes
641.3068,11,1,1.4,Panel-8-Target-5,0.09292603,1.270691,Eye-Gaze,0.0817924,1.186267,-0.1048279,1.970001,Yes
648.5063,11,1,1.4,Panel-8-Target-6,0.1011047,2.025024,Eye-Gaze,0.05736087,1.978338,0.09292603,1.270691,Yes
660.0526,11,1,1.4,Panel-8-Target-7,-0.1011963,1.305084,Eye-Gaze,-0.1599778,1.258686,0.1011047,2.025024,Yes
668.3876,11,1,1.4,Panel-8-Target-8,0.285553,1.901215,Eye-Gaze,0.2512212,1.880469,-0.1011963,1.305084,Yes
674.7662,11,1,1.4,Panel-8-Target-9,-0.2272034,1.504578,Eye-Gaze,-0.2253092,1.355182,0.285553,1.901215,Yes
680.2019,11,1,1.4,Panel-8-Target-1,0.3586731,1.633179,Eye-Gaze,0.3418612,1.574963,-0.2272034,1.504578,Yes
682.3024,11,1,2.5,Panel-7-Target-1,0.582489,1.626312,Eye-Gaze,0.5600306,1.555888,0.3586731,1.633179,Yes
729.205,11,1,2.5,Panel-7-Target-2,-0.4428406,1.828094,Eye-Gaze,-0.419136,1.714384,0.582489,1.626312,Yes
749.7603,11,1,2.5,Panel-7-Target-3,0.460022,1.250519,Eye-Gaze,0.4182786,1.146755,-0.4428406,1.828094,Yes
766.72,11,1,2.5,Panel-7-Target-4,-0.213562,2.143341,Eye-Gaze,-0.2421034,2.155081,0.460022,1.250519,Yes
773.248,11,1,2.5,Panel-7-Target-5,0.1513977,1.045776,Eye-Gaze,0.1267338,0.9412318,-0.213562,2.143341,Yes
783.6538,11,1,2.5,Panel-7-Target-6,0.1462402,2.208221,Eye-Gaze,0.1259337,2.155621,0.1513977,1.045776,Yes
790.7216,11,1,2.5,Panel-7-Target-7,-0.2087097,1.114105,Eye-Gaze,-0.2258615,1.053465,0.1462402,2.208221,Yes
798.064,11,1,2.5,Panel-7-Target-8,0.4575806,2.003265,Eye-Gaze,0.4180885,1.913981,-0.2087097,1.114105,Yes
806.4686,11,1,2.5,Panel-7-Target-9,-0.4428406,1.423859,Eye-Gaze,-0.4634027,1.333324,0.4575806,2.003265,Yes
